List ID	Displayed	Element ID	Value	Label	Description	Drivecom	File
BDCO	always	...	...	...	Terminal CANopen : Baud rate list		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../es/src/EsCanOpenParameters.xml
		50K	38	50K	50 000 Bauds		
		125K	52	125K	125 000 Bauds		
		250K	60	250K	250 000 Bauds		
		500K	68	500K	500 000 Bauds		
		1M	76	1M	1 MBauds		

							
BEN	always	...	...	...	Frequency brake engage threshold list		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../fct/src/FctBrakeSequence.xml
		AUTO	-1	AUTO	Nominal value		

							
BFR	always	...	...	...	Basic frequency list		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../ent/src/EntDrive.xml
		50Hz	0	50	Drive 50 Hz		
		60Hz	1	60	Drive 60 Hz		

							
BIP	always	...	...	...	Brake impulse list		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../fct/src/FctBrakeSequence.xml
		NO	0	NO	No		
		YES	1	YES	Yes		
		2IBR	2	2IBR	2Ibr		

							
BLC	always	...	...	...	Brake function assignment list		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../fct/src/FctBrakeSequence.xml
		NO	0	NO	No		
		R2	2	R2	Relay R2		
		LO1	17	LO1	Logical output LO1		
		DO1	64	DO1	Logical output DO1		

							
BMP	always	...	...	...	Bumpless type		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../fct/src/FctKeyboardManagement.xml
		STOP	0	STOP	Stop		
		BUMP	1	BUMP	Bumpless		

							
BOA	always	...	...	...	Boost activation		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../ent/src/EntMotor.xml
		NO	0	NO	No boost		
		DYNA	1	DYNA	"Dynamic boost (FAB, BOO managed by default value in MC)"		
		STAT	2	STAT	Static boost		

							
BRA	always	...	...	...	Braking function assignment list		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../ent/src/EntRegDCLink.xml
		NO	0	NO	Braking command transistor		
		YES	1	YES	Braking adaptation		
		DYNA	2	DYNA	High braking adaptation (type A)		

							
BSP	always	...	...	...	Low speed management list		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../fct/src/FctSpeedTemplate.xml
		BSD	0	BSD	Standard		
		BLS	1	BLS	DeadBand		
		BNS	2	BNS	Pedestral		
		BNS0	4	BNS0	Pedestal at 0 %		

							
BST	always	...	...	...	Brake sequence type list		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../fct/src/FctBrakeSequence.xml
		HOR	0	HOR	Horizontal brake sequence		
		VER	1	VER	Vertical brake sequence		

							
CDX	always	...	...	...	Channel X command source list		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../fct/src/FctChannelManagement.xml
		TER	1	TER	Terminal block source		
		LOC	2	LOC	Local keypad source		
		LCC	3	LCC	External keypad source		
		MDB	10	MDB	Modbus source		
		CAN	20	CAN	CANopen source		
		NET	30	NET	Communication option board source		

							
CFG	always	...	...	...	Macro configuration list		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../app/src/AppBase.xml
		STS	0	STS	Start / stop		
		HDG	1	HDG	Material handling		
		HST	2	HST	Hoisting		
		GEN	3	GEN	General use		
		PID	4	PID	PID regulation		
		NET	5	NET	Fieldbus connexion		

							
CFPS	always	...	...	...	Configuration parameter status list		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../fct/src/FctParameterSwitching.xml
		NO	0	NO	Not assigned		
		CFP1	1	CFP1	Parameter set 1 active		
		CFP2	2	CFP2	Parameter set 2 active		
		CFP3	3	CFP3	Parameter set 3 active		

							
CGTY	always	...	...	...	Factory setting choice list		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../_Configuration/_CfgConfig/Src/CfgConfigPrm.xml
		CUS	0	CUS	Customer factory setting		
		OEM	10	OEM	OEM factory setting		

							
CHCF	always	...	...	...	Channel configuration list		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../fct/src/FctChannelManagement.xml
		SIM	1	SIM	Simple mode		
		SEP	2	SEP	Separate mode		
		IO	3	IO	I/O mode		

							
CIOA	always	...	...	...	Configured Assembly		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../es/src/EsOption.xml
		20	0	20			
		21	1	21			
		100	2	100			
		UNCG	3	UNCG			

							
CNFS	always	...	...	...	Configuration Status list		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../_Configuration/_CfgConfig/Src/CfgConfigPrm.xml
		NO	0	NO	Transitory state (configuration changing)		
		CNF0	1	CNF0	Configuration 0 active		
		CNF1	2	CNF1	Configuration 1 active		
		CNF2	3	CNF2	Configuration 2 active		

							
CNL	always	...	...	...	format of canal (command or reference)		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../_Hmi/_Gfx/Src/HmiGfxPrm.xml
		TER	0	Term			
		LOC	1	LOC			
		LCC	2	HMI			
		MDB	3	MDB			
		CAN	6	CAN			
		TUD	7	TUD			
		LUD	8	LUD			
		NET	9	NET			
		IND	14	IND			
		PWS	15	PWS			

							
COM1	always	...	...	...	Modbus Port 1 led display		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../es/src/EsModbus.xml
		R0T0	0	R0T0	R0T0		
		R0T1	1	R0T1	R0T1		
		R1T0	2	R1T0	R1T0		
		R1T1	3	R1T1	R1T1		

							
COP	always	...	...	...	Keep run order at switching list		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../fct/src/FctChannelManagement.xml
		NO	0	NO	No copy		
		SP	1	SP	Copy only the speed references		
		CD	2	CD	Copy only the command words		
		ALL	3	ALL	Copy both the commands and the references		

							
CSA	always	...	...	...			X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../gp/src/GpAnalogPorts.xml
		NO	0	NO	Not assigned		
		AO1	1	AO1	Analogical output AO1		
		AIFR1	129	FR1	Reference source 1		
		AIFR2	130	FR2	Reference source 2		
		AISA2	131	SA2	Summing reference 2		
		AIPIF	132	PIF	PI feedback (PI control)		
		AITAA	136	TAA	Torque limitation : Activation by an analog value		
		AIDA2	137	DA2	Subtracting reference 2		
		AIPIM	138	PIM	Manual speed reference of the PI(D) regulator (auto-man)		
		AIFPI	139	FPI	Speed reference of the PI(D) regulator (predictive reference)		
		AISA3	160	SA3	Summing reference 3		
		AIFR1B	161	FR1B	Reference source 1B		
		AIDA3	162	DA3	Subtracting reference 3		
		AIFLOC	163	FLOC	Forced local reference source		
		AIMA2	164	MA2	Multiplying reference 2		
		AIMA3	165	MA3	Multiplying reference 3		
		AIPES	167	PES	Lift : External weight measurement function		
		AIAIC2	170	AIC2	Virtual AI2 channel selector function		
		IA01	190	IA01	Functions blocks : Analog Input 01		
		IA02	191	IA02	Functions blocks : Analog Input 02		
		IA03	192	IA03	Functions blocks : Analog Input 03		
		IA04	193	IA04	Functions blocks : Analog Input 04		
		IA05	194	IA05	Functions blocks : Analog Input 05		
		IA06	195	IA06	Functions blocks : Analog Input 06		
		IA07	196	IA07	Functions blocks : Analog Input 07		
		IA08	197	IA08	Functions blocks : Analog Input 08		
		IA09	198	IA09	Functions blocks : Analog Input 09		
		IA10	199	IA10	Functions blocks : Analog Input 10		

							
CSL	always	...	...	...			X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../gp/src/GpLogicPorts.xml
		NO	0	NO	Not assigned		
		LIRUN	1	RUN	Run Enable		
		LIFRD	2	FRD	Forward operation		
		LIRRS	3	RRS	Reverse operation		
		LIRPS	4	RPS	Ramp switching		
		LIJOG	5	JOG	Jog operation		
		LIUSP	6	USP	+ Speed		
		LIDSP	7	DSP	- Speed		
		LIPS2	8	PS2	2 Preset speeds		
		LIPS4	9	PS4	4 Preset speeds		
		LIPS8	10	PS8	8 Preset speeds		
		LIRFC	11	RFC	Reference switching		
		LINST	12	NST	Freewheel stop		
		LIDCI	13	DCI	Injection DC stop		
		LIFST	14	FST	Fast stop		
		LIFLO	17	FLO	Forced local mode		
		LIRSF	18	RSF	Fault reset		
		LITUL	19	TUL	Auto-tuning		
		LISPM	20	SPM	Save reference		
		LIFLI	21	FLI	Motor fluxing		
		LIPAU	22	PAU	PI(D) auto-manu		
		LIPIS	23	PIS	Integral shunting PI(D)		
		LIPR2	24	PR2	2 Preset PI(D) references		
		LIPR4	25	PR4	4 Preset PI(D) references		
		LITLA	26	TLA	Permanent torque limitation		
		LIETF	27	ETF	External fault		
		LIRCA	30	RCA	Downstream contactor feedback		
		LICNF1	33	CNF1	Configuration switching 1		
		LICNF2	34	CNF2	Configuration switching 2		
		LICHA1	35	CHA1	Parameter switching 1		
		LICHA2	36	CHA2	Parameter switching 2		
		LITLC	37	TLC	Torque limitation : Activation (analog input) by a logic input		
		LICCS	40	CCS	Command channel switching		
		LIINH	41	INH	Fault inhibition		
		LIPS16	42	PS16	16 preset speeds		
		LILC2	43	LC2	Current limitation switching		
		LIRCB	46	RCB	Reference channel switching (1 to 1B)		
		LITRC	47	TRC	Traverse control		
		LIBCI	51	BCI	Brake logic input contact		
		LISAF	56	SAF	Stop switch forward		
		LISAR	57	SAR	Stop switch reverse		
		LIDAF	58	DAF	Slowdown attained forward		
		LIDAR	59	DAR	Slowdown attained reverse		
		LICLS	60	CLS	Limits switches clearing		
		LILES	61	LES	Emergency stop		
		LIRTR	62	RTR	Reload traverse control		
		LISNC	64	SNC	Counter wobble synchronization		
		LIRPA	66	RPA	Reset Product		
		LISH2	72	SH2	High Speed 2		
		LISH4	73	SH4	High Speed 4		
		LO1	129	LO1	Logical output LO1		
		R1	145	R1	Relay R1		
		R2	146	R2	Relay R2		
		DO1	161	DO1	Analogical/logical output DO1		
		BTUC	178	BTUC	Bluetooth visibility		
		FNJOG	180	FJOG	Function key jog affectation		
		FNPS1	181	FPS1	Function key preset speed 1 affectation		
		FNPS2	182	FPS2	Function key preset speeed 2 affectation		
		FNPR1	183	FPR1	Function key preset PI 1 affectation		
		FNPR2	184	FPR2	Function key preset PI 2 affectation		
		FNUSP	185	FUSP	Function key faster affectation		
		FNDSP	186	FDSP	Function key slower affectation		
		FNTK	187	FTK	Function key bumpless affectation		
		LIUSI	188	USI	+ Speed around ref		
		LIDSI	189	DSI	- Speed around ref		
		IL01	190	IL01	Functions blocks : Logical Input 01		
		IL02	191	IL02	Functions blocks : Logical Input 02		
		IL03	192	IL03	Functions blocks : Logical Input 03		
		IL04	193	IL04	Functions blocks : Logical Input 04		
		IL05	194	IL05	Functions blocks : Logical Input 05		
		IL06	195	IL06	Functions blocks : Logical Input 06		
		IL07	196	IL07	Functions blocks : Logical Input 07		
		IL08	197	IL08	Functions blocks : Logical Input 08		
		IL09	198	IL09	Functions blocks : Logical Input 09		
		IL10	199	IL10	Functions blocks : Logical Input 10		
		FBRM	202	FBRM	Functions blocks : Run mode		
		SLS1	203	SLS1	Safety : false consumer		
		SLS2	204	SLS2	Safety : false consumer		
		SS11	205	SS11	Safety : false consumer		
		SS12	206	SS12	Safety : false consumer		
		STO1	207	STO1	Safety : false consumer		
		STO2	208	STO2	Safety : false consumer		

							
CSLFN	always	...	...	...			X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../gp/src/GpLogicPorts.xml
		NO	0	NO	Not assigned		
		FNJOG	180	FJOG	Function key jog affectation		
		FNPS1	181	FPS1	Function key preset speed 1 affectation		
		FNPS2	182	FPS2	Function key preset speeed 2 affectation		
		FNPR1	183	FPR1	Function key preset PI 1 affectation		
		FNPR2	184	FPR2	Function key preset PI 2 affectation		
		FNUSP	185	FUSP	Function key faster affectation		
		FNDSP	186	FDSP	Function key slower affectation		
		FNTK	187	FTK	Function key bumpless affectation		

							
CSLOUT	always	...	...	...			X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../gp/src/GpLogicPorts.xml
		NO	0	NO	Not assigned		
		LO1	129	LO1	Logical output LO1		
		R2	146	R2	Relay R2		
		DO1	161	DO1	Analogical/logical output DO1		

							
CST	always	...	...	...	different keypad status		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../_Hmi/_Gfx/Src/HmiGfxPrm.xml
		LCK	0	LCK			
		ULCK	1	ULCK			

							
CTT	always	...	...	...	Motor control type list		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../ent/src/EntMotor.xml
		VVC	0	VVC	Voltage vector control		
		STD	3	STD	Standard law (U/F 2 pts)		
		UF5	4	UF5	U/F 5 pts		
		SYN	5	SYN	Synchronous motors		
		UFQ	6	UFQ	U/F for quadradic loads		
		NLD	7	NLD	Energy saving		

							
DCCC	always	...	...	...	DC Bus chaining compatibility list		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../fct/src/FctDCBusManagement.xml
		ATV	0	ATV	Only ATV32 and 71 on DC Bus chain		
		LHM	1	LHM	LHM32 on DC Bus Chain		

							
DCCM	always	...	...	...	DC Bus chaining mode list		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../fct/src/FctDCBusManagement.xml
		NO	0	NO	DC Bus chaining not activated		
		MAIN	1	MAIN	Main is connected to the drive		
		BUS	2	BUS	Main is not connected to the drive (only DC Bus)		

							
DLR	always	...	...	...	Download rights		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../_Configuration/_CfgConfig/Src/CfgCodePrm.xml
		DLR0	0	DLR0	"locked drive : means that the configuration can be downloaded only in a locked drive which configuration has the same password. If the passwords are different, download is not permitted"		
		DLR1	1	DLR1	Unlocked drive : means that the configuration can be downloaded only in an drive without active password		
		DLR2	2	DLR2	Not allowed : the configuration could never been downloaded		
		DLR3	3	DLR3	Lock. + Not : download is permitted following case 0 or case 1		

							
DOTD	always	...	...	...	Disable operation stop mode list		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../app/src/AppDrivecomPrj.xml
		NST	0	NST	Disable Drive function		
		RMP	1	RMP	Ramp stop then disable drive function		

							
DPMA	always	...	...	...	Active Master list		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../es/src/EsOption.xml
		1	1	1	Master 1		
		2	2	2	Master 2		

							
DSF	always	...	...	...	Limit switch deceleration adaptation list		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../fct/src/FctPositioning.xml
		STD	0	STD	Standart		
		OPT	1	OPT	Optimized		

							
DUR	always	...	...	...	Maximum time for automatic fault reload list		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../app/src/AppFaultPrj.xml
		5	0	5	5 minutes		
		10	1	10	10 minutes		
		30	2	30	30 minutes		
		1H	3	1H	1 hour		
		2H	4	2H	2 hours		
		3H	5	3H	3 hours		
		CT	6	CT	Continuous		

							
ECFG	always	...	...	...	Warning configuration type list		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../app/src/AppWarningMgr.xml
		NO	0	NO	The drive ignores the fault		
		YES	1	YES	Free wheel		
		STT	2	STT	Stop according STT parameter. No fault after stop		
		LFF	4	LFF	Fallback speed		
		RLS	5	RLS	Speed kept		
		RMP	6	RMP	Ramp stop		
		FST	7	FST	Fast stop		
		DCI	8	DCI	DC injection		

							
ETHM	always	...	...	...	Ethernet protocol list		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../es/src/EsOption.xml
		MBTP	0	MBTP			
		ETIP	1	ETIP			

							
ETST	always	...	...	...	EtherCAT slave status		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../es/src/EsOption.xml
		INIT	1	INIT	Init		
		PROP	2	PROP	Pre-operational		
		BOOT	3	BOOT	Bootstrap		
		SFOP	4	SFOP	Safe operational		
		OP	8	OP	Operational		

							
FBFT	always	...	...	...	Functions blocks faults		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../_FunctionBlock/Src/FBPrm.xml
		NO	0	NO	No fault		
		INT	1	INT	FB : Internal fault		
		BIN	2	BIN	FB : Binary fault		
		INP	3	INP	FB : Internal parameter fault		
		PAR	4	PAR	FB : Parameter access fault		
		CAL	5	CAL	FB : calculation fault		
		TOAU	6	TOAU	FB : TimeOut AUX task		
		TOPP	7	TOPP	FB : TimeOut in PRE/POST task		
		ADL	8	ADL	FB : ADLC with bad parameter		
		IN	9	IN	FB : input not configured		

							
FBST	always	...	...	...	Functions blocks status		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../_FunctionBlock/Src/FBPrm.xml
		IDLE	0	IDLE	FB Idle state		
		CHEC	1	CHEC	FB check program		
		STOP	2	STOP	FB STOP state		
		INIT	3	INIT	FB initialization before RUN		
		RUN	4	RUN	FB RUN state		
		ERR	5	ERR	FB error state		

							
FCMD	never	...	...	...	Fast scope command type		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../es/src/EsFastScope.xml
		STOP	0	STOP	Stop		
		SGL	1	SGL	Single		
		AUTO	2	AUTO	Auto		

							
FCS	never	...	...	...	Recall customer parameter set list		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../_Configuration/_CfgConfig/Src/CfgConfigPrm.xml
		NO	0	NO	No		
		REC1	2	REC1	Recall customer parameter set 1		
		REC2	3	REC2	Recall customer parameter set 2		
		INI	64	INI	Recall default parameter set		
		INI1	71	INI1	Recall OEM default parameter set		

							
FCSI	always	...	...	...	Factory/Recall setting source		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../_Hmi/_Gfx/Src/HmiGfxPrm.xml
		INI	0	INI	Software default		
		CFG1	2	CFG1	Configuration 1		
		CFG2	3	CFG2	Configuration 2		

							
FDRA	always	...	...	...	FDR different actions		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../_Hmi/_Gfx/Src/HmiGfxPrm.xml
		IDLE	0	IDLE			
		SAVE	1	SAVE			
		REST	2	REST			
		DEL	3	DEL			

							
FDRE	always	...	...	...	FDR states		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../_Hmi/_Gfx/Src/HmiGfxPrm.xml
		IDLE	0	IDLE			
		INIT	1	INIT			
		CONF	2	CONF			
		RDY	3	RDY			
		OPE	4	OPE			
		UCFG	5	UCFG			
		UNRC	6	UNRC			

							
FFM	always	...	...	...	Fan force mode list		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../es/src/EsFanMgr.xml
		STD	0	STD	Standard		
		RUN	1	RUN	Force run		
		STP	2	STP	Force stop		

							
FLU	always	...	...	...	Motor fluxing choice list		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../fct/src/FctMotorFluxing.xml
		FNC	0	FNC	Non continuous		
		FCT	1	FCT	Continuous		
		FNO	2	FNO	No fluxing		

							
FOPT	never	...	...	...	Fast scope trigger operation type		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../es/src/EsFastScope.xml
		PSL	0	PSL	PSlope		
		NSL	1	NSL	NSlope		
		PNSL	2	PNSL	PNSlope		
		INW	3	INW	InWindow		
		OUTW	4	OUTW	OutWindow		
		BIT	5	BIT	Bit		

							
FOR	always	...	...	...	Communication option : Frame format list		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../es/src/EsModbus.xml
		NO	0	NO	Not configured		
		AUTO	1	AUTO	Automatic detection		
		8O1	2	8o1	8.o.1.		
		8E1	3	8E1	8.E.1.		
		8N1	4	8n1	8.n.1.		
		8N2	5	8n2	8.n.2.		
		7O1	6	7o1	7.o.1.		
		7E1	7	7E1	7.E.1.		
		7O2	8	7o2	7.o.2.		
		7E2	9	7E2	7.E.2.		

							
FRM	always	...	...	...	format display type		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../_Hmi/_Gfx/Src/HmiGfxPrm.xml
		HEX	0	HEX			
		SIG	1	SIG			
		NSG	2	NSG			

							
FSTS	never	...	...	...	Fast scope status type		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../es/src/EsFastScope.xml
		WAIT	0	WAIT	Waiting		
		TRIG	1	TRIG	Triggering		
		RDY	2	RDY	Ready		
		STOP	3	STOP	Stopped		

							
FTBA	never	...	...	...	Fast scope sampling time possibility		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../es/src/EsFastScope.xml
		2MS	1	2MS	2 ms / div		
		10MS	3	10MS	10 ms / div		
		20MS	4	20MS	20 ms / div		
		50MS	5	50MS	50 ms / div		
		100MS	6	100MS	100 ms / div		
		200MS	7	200MS	200 ms / div		
		500MS	8	500MS	500 ms / div		
		1S	9	1S	1 s / div		
		2S	10	2S	2 s / div		
		5S	11	5S	5 s / div		
		10S	12	10S	10 s / div		
		20S	13	20S	20 s / div		
		50S	14	50S	50 s / div		
		100S	15	100S	100 s / div		
		4MS	16	4MS	4 ms / div		

							
GFX	never	...	...	...	State of GFX connexion		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../_Hmi/_Gfx/Src/HmiGfxPrm.xml
		NOT	0	NOT	Not connected		
		MON	1	MON	Monopoint connection		
		MUL	2	MUL	Multipoint connection		

							
HMIS	always	...	...	...	Product status list		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../_Hmi/Src/HmiPrm.xml
		TUN	0	TUN	AutoTuning		
		DCB	1	DCB	Injection breaking		
		RDY	2	RDY	Drive ready		
		NST	3	NST	Freewheel stop control		
		RUN	4	RUN	Motor in steady state or run command present and zero reference		
		ACC	5	ACC	Acceleration		
		DEC	6	DEC	Deceleration		
		CLI	7	CLI	Current limit		
		FST	8	FST	Fast stop		
		FLU	9	FLU	Fluxing function is activated		
		NLP	11	NLP	Control is powered on but the DC bus is not loaded		
		PRA	12	PRA	Power removal function has been activated		
		CTL	13	CTL	Controlled stop		
		OBR	14	OBR	Adapted deceleration		
		SOC	15	SOC	Stand by output cut		
		USA	17	USA	Undervoltage alarm		
		TC	18	TC	TC indus mode activated		
		ST	19	ST	Self test in progress		
		FA	20	FA	Self test fail		
		OK	21	YES	Self test Ok		
		EP	22	EP	Self test Eeprom fault		
		FLT	23	FLT	Product in fault		
		SS1	28	SS1	Safety SS1 level		
		SLS	29	SLS	Safety SLS level		
		STO	30	STO	Safety STO level		

							
HSO	always	...	...	...	High Speed Optimized activation function list		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../fct/src/FctHighSpeedHoisting.xml
		NO	0	NO	Not configured		
		SSO	1	SSO	Speed reference mode		
		CSO	2	CSO	Currentl limitation mode		

							
INCPER	always	...	...	...	Ramp increment list		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../fct/src/FctTorqueLimitation.xml
		001	0	0.01	"0,01 %"		
		01	1	0.1	"0,1 %"		
		1	2	1	1 %		

							
INR	always	...	...	...	Ramp increment list		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../ent/src/EntRampe.xml
		001	0	0.01	"0,01 sec"		
		01	1	0.1	"0,1 sec"		
		1	2	1	1 sec		

							
